Dataset,Source,Loaded_Table_SHA256
Production preprocessed,Preprocessed Datasets/01_production_preprocessed.csv,a94f0781124b1a8f566fa41217e041aad99aa5488c60b8db41a0e4a836c595c4
Weather preprocessed,Preprocessed Datasets/02_weather_preprocessed.csv,2e47c79c5466515426b163c3dadf2a8fa561d3487fde9e1a853481aec04af1d4
Weekly price workbook after header loading,Raw Datasets/Weekly Average Retail Prices of Vegi - 2012 to 2025.xlsx,e1c8b813c57620f541e57c07f26dc8ca4b8ac1e84e2bd6866893de0655894cbe
Final modelling dataset,Preprocessed Datasets/03_final_modelling_dataset.csv,04b41880b9c2483b7c3c6f9b6aa3e2f43621b852a5df3131d92285edb1079155
