District,Season,CropCategory,Crop,Year,Extent,Production,Yield_t_ha,Yield_IQR_Flag,AnchorMonth,AnchorDate,ForecastDate,WeatherWindowStart,WeatherWindowEnd,Rainfall_3M_mm,TempMean_3M_C,WindSpeed_3M_kmh,SolarRadiation_3M_MJ_m2,ET0_3M_mm,WeatherDays_3M,Leakage_Check,Weather_Completeness_OK,PrevMonthWholesalePrice_RsKg,NextMonthWholesalePrice_RsKg
National Total,Maha,Low Country Vegetable,Bandakka,2012,4512.0,38327.0,8.494459219858156,False,9,2012-09-01,2012-09-01,2012-06-01,2012-08-31,271.4518518518518,26.73909017713365,21.219847020933976,19.93822463768116,436.74740740740737,92,True,True,20.6575,59.912
National Total,Yala,Low Country Vegetable,Bandakka,2013,3635.0,30957.0,8.51636863823934,False,4,2013-04-01,2013-04-01,2013-01-01,2013-03-31,479.52592592592606,24.79600823045267,13.010246913580248,18.615028806584363,349.47962962962964,90,True,True,42.125,34.5975
National Total,Maha,Low Country Vegetable,Bandakka,2013,4734.0,38658.0,8.166032953105196,False,9,2013-09-01,2013-09-01,2013-06-01,2013-08-31,378.27777777777777,26.0592190016103,20.98921095008052,19.044879227053144,398.4211111111111,92,True,True,31.625,36.875
National Total,Yala,Low Country Vegetable,Bandakka,2014,3892.0,27272.0,7.0071942446043165,True,4,2014-04-01,2014-04-01,2014-01-01,2014-03-31,184.15185185185183,25.0727572016461,14.82559670781893,20.222942386831274,394.5177777777778,90,True,True,34.528,84.58
National Total,Maha,Low Country Vegetable,Bandakka,2014,4567.0,39697.0,8.692139259908036,False,9,2014-09-01,2014-09-01,2014-06-01,2014-08-31,278.4000000000001,26.76694847020934,21.32246376811594,19.86382045088567,429.4092592592592,92,True,True,23.245,66.5
National Total,Yala,Low Country Vegetable,Bandakka,2015,3293.0,28689.0,8.712116610993016,False,4,2015-04-01,2015-04-01,2015-01-01,2015-03-31,210.2703703703704,24.861152263374485,12.927777777777775,20.35349794238683,382.60925925925926,90,True,True,28.398000000000003,58.7925
National Total,Maha,Low Country Vegetable,Bandakka,2015,4105.0,37435.0,9.119366626065773,False,9,2015-09-01,2015-09-01,2015-06-01,2015-08-31,302.1962962962963,26.68128019323672,20.14830917874396,20.037846215780995,419.2903703703704,92,True,True,28.694,57.2375
National Total,Yala,Low Country Vegetable,Bandakka,2016,3270.0,31459.0,9.620489296636086,False,4,2016-04-01,2016-04-01,2016-01-01,2016-03-31,103.57407407407408,26.05075295075295,13.816646316646317,20.77905982905984,412.6448148148148,91,True,True,56.67,78.5
National Total,Maha,Low Country Vegetable,Bandakka,2016,3803.0,35260.0,9.271627662371811,False,9,2016-09-01,2016-09-01,2016-06-01,2016-08-31,265.61481481481485,26.633494363929145,20.95998389694042,19.82029388083736,416.3766666666666,92,True,True,24.524,60.832
National Total,Yala,Low Country Vegetable,Bandakka,2017,3077.0,27287.0,8.868053298667533,False,4,2017-04-01,2017-04-01,2017-01-01,2017-03-31,313.99999999999994,24.675596707818933,15.267901234567905,20.136897119341565,381.8151851851852,90,True,True,90.89743589743588,74.44230769230765
National Total,Maha,Low Country Vegetable,Bandakka,2017,3752.0,34142.0,9.099680170575692,False,9,2017-09-01,2017-09-01,2017-06-01,2017-08-31,394.8037037037038,26.89971819645732,20.743679549114336,18.80973027375201,408.6885185185185,92,True,True,33.73397435814099,67.16666666733333
National Total,Yala,Low Country Vegetable,Bandakka,2018,3826.0,28883.0,7.549137480397282,False,4,2018-04-01,2018-04-01,2018-01-01,2018-03-31,228.24444444444447,24.822592592592592,15.51699588477366,19.673259259259257,376.64962962962966,90,True,True,33.541666665,97.291666685
National Total,Yala,Low Country Vegetable,Bandakka,2019,3123.0,35107.0,11.241434518091578,True,4,2019-04-01,2019-04-01,2019-01-01,2019-03-31,233.3592592592593,25.21213991769548,15.569341563786008,20.74994650205761,397.587037037037,90,True,True,67.25,69.5
National Total,Yala,Low Country Vegetable,Bandakka,2020,3845.1,35828.0,9.317833086265637,False,4,2020-04-01,2020-04-01,2020-01-01,2020-03-31,105.40370370370368,25.679527879527875,16.7981277981278,21.646776556776555,429.8481481481482,91,True,True,26.5,64.4375
