District,Year,Season,TotalDaylightDuration_s,TotalSunshineDuration_s,TotalPrecipitationSum_mm,TotalRainSum_mm,TotalPrecipitationHours_h,TotalShortwaveRadiationSum_MJm2,TotalEt0FaoEvapotranspiration_mm,MeanTemperature2mMax_C,MeanTemperature2mMin_C,MeanTemperature2mMean_C,MeanApparentTemperatureMax_C,MeanApparentTemperatureMin_C,MeanApparentTemperatureMean_C,MeanWindSpeed10mMax_kmh,MeanWindGusts10mMax_kmh,MeanWindDirection10mDominant,MostCommonWeatherCode,WeatherDays
Ampara,2018,Yala,6843581.42,5599607.46,458.1,458.1,556.0,3094.68,741.2,33.75816993464052,24.524183006535946,28.409150326797388,38.62091503267974,28.941176470588236,32.734640522875814,15.112418300653594,36.82091503267974,189.66013071895424,51.0,153
Ampara,2019,Maha,9130847.85,7328892.17,1414.5,1414.5,2075.0,3822.28,808.66,30.2018779342723,23.325352112676057,26.159154929577465,35.14319248826291,27.608920187793426,30.613145539906107,13.610798122065727,32.763849765258215,94.71361502347418,51.0,213
Ampara,2019,Yala,6843532.26,5762771.0200000005,254.1,254.1,440.0,3204.49,801.93,35.83202614379085,25.418954248366013,29.732679738562094,40.629411764705885,29.84509803921569,33.98366013071895,15.536601307189542,36.68627450980392,189.44444444444446,51.0,153
Ampara,2020,Maha,9086765.13,6979903.56,1560.3,1560.3,1975.0,3684.05,796.62,30.8561320754717,23.402358490566037,26.43632075471698,35.56415094339623,27.63254716981132,30.828301886792456,13.763207547169813,33.531603773584905,150.10377358490567,51.0,212
Ampara,2020,Yala,6843727.28,5539296.07,416.1,416.1,614.0,3086.26,719.12,34.43856209150327,25.045098039215688,28.95359477124183,39.711111111111116,30.02222222222222,33.86470588235294,13.882352941176471,35.132026143790846,163.09803921568627,51.0,153
Ampara,2021,Maha,9086811.17,7153372.72,1175.7,1175.7,1559.0,3958.22,835.23,30.78254716981132,22.993867924528303,26.168396226415094,35.842452830188684,27.110849056603772,30.5938679245283,13.116037735849057,31.15754716981132,179.05188679245282,51.0,212
Ampara,2021,Yala,6843670.18,5614322.63,442.2,442.2,644.0,3138.19,719.42,34.01895424836601,24.501307189542484,28.431372549019606,39.41111111111111,29.195424836601305,33.21176470588235,13.65751633986928,33.301307189542484,187.36601307189542,51.0,153
Ampara,2022,Maha,9086862.97,6829137.45,1350.1,1350.1,1641.0,3905.82,815.84,30.050943396226415,22.57122641509434,25.64056603773585,34.92075471698113,26.391037735849054,29.791509433962265,13.835849056603772,31.105188679245284,187.99056603773585,51.0,212
Ampara,2022,Yala,6843611.83,5406127.74,632.8,632.8,621.0,3123.03,706.33,33.508496732026146,24.22483660130719,27.91830065359477,39.19934640522876,28.731372549019607,32.6764705882353,13.590196078431374,30.90261437908497,192.73202614379085,63.0,153
Ampara,2023,Maha,9130807.11,6980952.82,1888.3,1888.3,1879.0,3920.11,835.19,30.95117370892019,23.362910798122066,26.334272300469483,36.294366197183095,27.664788732394367,30.94600938967136,13.992018779342724,31.490610328638496,121.49295774647888,63.0,213
