District,Season,CropCategory,Crop,Year,Extent,Production,Yield_t_ha,Yield_IQR_Flag
National Total,Yala,Up Country Vegetable,Capsicum,2020,1634.5,13306.3,8.140899357601713,False
National Total,Maha,Up Country Vegetable,Capsicum,2020,2064.0,18203.0,8.819282945736434,False
National Total,Yala,Up Country Vegetable,Capsicum,2021,1359.8,11114.6,8.173702015002206,False
National Total,Maha,Up Country Vegetable,Capsicum,2021,1975.5,16373.1,8.288078967350039,False
National Total,Yala,Up Country Vegetable,Capsicum,2022,1337.7,10829.4,8.095537115945278,False
National Total,Maha,Up Country Vegetable,Capsicum,2022,1679.5,15271.0,9.092587079487943,False
National Total,Yala,Up Country Vegetable,Capsicum,2023,1276.7,8662.0,6.784679251194485,False
National Total,Maha,Up Country Vegetable,Capsicum,2023,1728.8,14396.5,8.327452568255438,False
National Total,Yala,Up Country Vegetable,Capsicum,2024,1251.7,8909.0,7.117520172565311,False
National Total,Maha,Up Country Vegetable,Capsicum,2024,1527.5,12264.9,8.029394435351882,False
National Total,Yala,Up Country Vegetable,Capsicum,2025,1143.2,9608.4,8.40482855143457,False
National Total,Maha,Up Country Vegetable,Capsicum,2025,1401.6,11421.5,8.148901255707763,False
National Total,Yala,Low Country Vegetable,Long Bean,2013,2800.0,19109.0,6.824642857142857,True
National Total,Maha,Low Country Vegetable,Long Bean,2013,3271.0,26074.0,7.971262610822379,False
National Total,Yala,Low Country Vegetable,Long Bean,2014,2551.0,18155.0,7.116816934535477,True
National Total,Maha,Low Country Vegetable,Long Bean,2014,4073.0,32977.0,8.09648907439234,False
National Total,Yala,Low Country Vegetable,Long Bean,2015,2936.0,22449.0,7.646117166212534,False
National Total,Maha,Low Country Vegetable,Long Bean,2015,4898.0,33938.0,6.928950592078399,True
National Total,Yala,Low Country Vegetable,Long Bean,2016,2802.0,24066.0,8.588865096359743,False
National Total,Maha,Low Country Vegetable,Long Bean,2016,3938.0,31790.0,8.072625698324023,False
National Total,Yala,Low Country Vegetable,Long Bean,2017,2780.0,24394.0,8.774820143884892,False
National Total,Maha,Low Country Vegetable,Long Bean,2017,3663.0,31460.0,8.588588588588589,False
National Total,Yala,Low Country Vegetable,Long Bean,2018,2971.0,25661.0,8.637159205654662,False
National Total,Maha,Low Country Vegetable,Long Bean,2018,4246.0,34878.0,8.214319359397079,False
National Total,Yala,Low Country Vegetable,Long Bean,2019,3280.0,28641.0,8.732012195121952,False
National Total,Maha,Low Country Vegetable,Long Bean,2019,3848.0,35289.0,9.170738045738046,False
National Total,Yala,Low Country Vegetable,Long Bean,2020,4245.2,36562.2,8.612597757467256,False
National Total,Maha,Low Country Vegetable,Long Bean,2020,4293.0,39084.0,9.104122990915444,False
National Total,Yala,Low Country Vegetable,Long Bean,2021,3370.7,30084.4,8.92526774853888,False
National Total,Maha,Low Country Vegetable,Long Bean,2021,4134.9,35191.5,8.510846695204238,False
National Total,Yala,Low Country Vegetable,Long Bean,2022,3613.2,30735.2,8.506365548544228,False
National Total,Maha,Low Country Vegetable,Long Bean,2022,4331.3,35535.9,8.204442084362663,False
National Total,Yala,Low Country Vegetable,Long Bean,2023,3308.3,27455.8,8.299065985551492,False
National Total,Maha,Low Country Vegetable,Long Bean,2023,4498.4,35395.3,7.868419882624934,False
National Total,Yala,Low Country Vegetable,Long Bean,2024,3431.4,28854.8,8.409045870490178,False
National Total,Maha,Low Country Vegetable,Long Bean,2024,4398.2,35539.2,8.080396525851484,False
National Total,Yala,Low Country Vegetable,Long Bean,2025,3454.5,29515.4,8.544044000578955,False
National Total,Maha,Low Country Vegetable,Long Bean,2025,3454.5,34926.0,10.11029092488059,True
National Total,Maha,Low Country Vegetable,Egg Plant,2013,783.0,5908.0,7.545338441890166,False
National Total,Yala,Low Country Vegetable,Egg Plant,2014,563.0,5638.0,10.014209591474245,False
National Total,Maha,Low Country Vegetable,Egg Plant,2014,1285.0,13270.0,10.326848249027238,False
National Total,Yala,Low Country Vegetable,Egg Plant,2015,515.0,4256.0,8.264077669902912,False
National Total,Maha,Low Country Vegetable,Egg Plant,2015,950.0,12227.0,12.870526315789474,False
National Total,Yala,Low Country Vegetable,Egg Plant,2016,467.0,4871.0,10.430406852248394,False
National Total,Maha,Low Country Vegetable,Egg Plant,2016,892.0,9628.0,10.79372197309417,False
National Total,Yala,Low Country Vegetable,Egg Plant,2017,457.0,4693.0,10.269146608315099,False
National Total,Maha,Low Country Vegetable,Egg Plant,2017,802.0,12538.0,15.633416458852867,True
National Total,Yala,Low Country Vegetable,Egg Plant,2018,626.0,6688.0,10.68370607028754,False
National Total,Maha,Low Country Vegetable,Egg Plant,2018,1308.0,13104.0,10.01834862385321,False
National Total,Yala,Low Country Vegetable,Egg Plant,2019,570.0,5748.0,10.08421052631579,False
National Total,Maha,Low Country Vegetable,Egg Plant,2019,831.0,8719.0,10.492178098676293,False
National Total,Yala,Low Country Vegetable,Egg Plant,2020,772.8,7225.8,9.350155279503106,False
National Total,Maha,Low Country Vegetable,Egg Plant,2020,1046.0,9178.0,8.774378585086042,False
National Total,Yala,Low Country Vegetable,Egg Plant,2021,865.6,6756.2,7.8052218114602585,False
National Total,Maha,Low Country Vegetable,Egg Plant,2021,1131.4,10121.8,8.94626126922397,False
National Total,Yala,Low Country Vegetable,Egg Plant,2022,749.6,6085.9,8.118863393810031,False
National Total,Maha,Low Country Vegetable,Egg Plant,2022,908.5,7516.2,8.273197578425977,False
National Total,Yala,Low Country Vegetable,Egg Plant,2023,658.4,5405.6,8.210206561360875,False
National Total,Maha,Low Country Vegetable,Egg Plant,2023,966.4,7502.3,7.763141556291391,False
National Total,Yala,Low Country Vegetable,Egg Plant,2024,689.6,5170.5,7.497824825986078,False
National Total,Maha,Low Country Vegetable,Egg Plant,2024,942.0,7045.2,7.478980891719745,False
National Total,Yala,Low Country Vegetable,Egg Plant,2025,686.0,4907.8,7.154227405247814,False
National Total,Maha,Low Country Vegetable,Egg Plant,2025,878.1,7868.7,8.961052271950802,False
National Total,Maha,Low Country Vegetable,Winged Bean,2013,742.0,4750.0,6.401617250673854,True
National Total,Yala,Low Country Vegetable,Winged Bean,2014,666.0,5583.0,8.382882882882884,False
National Total,Maha,Low Country Vegetable,Winged Bean,2014,916.0,7887.0,8.610262008733624,False
National Total,Yala,Low Country Vegetable,Winged Bean,2015,765.0,6124.0,8.005228758169935,False
National Total,Maha,Low Country Vegetable,Winged Bean,2015,1091.0,9670.0,8.863428047662694,False
National Total,Yala,Low Country Vegetable,Winged Bean,2016,665.0,6603.0,9.929323308270677,False
National Total,Maha,Low Country Vegetable,Winged Bean,2016,1099.0,9361.0,8.517743403093721,False
National Total,Yala,Low Country Vegetable,Winged Bean,2017,706.0,6352.0,8.997167138810198,False
National Total,Maha,Low Country Vegetable,Winged Bean,2017,911.0,10041.0,11.021953896816685,False
National Total,Yala,Low Country Vegetable,Winged Bean,2018,797.0,7952.0,9.97741530740276,False
National Total,Maha,Low Country Vegetable,Winged Bean,2018,1051.0,10334.0,9.832540437678402,False
National Total,Yala,Low Country Vegetable,Winged Bean,2019,855.0,8764.0,10.250292397660818,False
National Total,Maha,Low Country Vegetable,Winged Bean,2019,968.0,9461.0,9.773760330578513,False
National Total,Yala,Low Country Vegetable,Winged Bean,2020,1116.9,10573.6,9.466917360551527,False
National Total,Maha,Low Country Vegetable,Winged Bean,2020,1105.0,10061.0,9.10497737556561,False
National Total,Yala,Low Country Vegetable,Winged Bean,2021,1072.1,10099.8,9.42057643876504,False
National Total,Maha,Low Country Vegetable,Winged Bean,2021,1144.0,10125.0,8.850524475524475,False
National Total,Yala,Low Country Vegetable,Winged Bean,2022,1107.9,10622.3,9.587778680386315,False
National Total,Maha,Low Country Vegetable,Winged Bean,2022,1133.4,10406.2,9.18140109405329,False
National Total,Yala,Low Country Vegetable,Winged Bean,2023,946.0,9528.4,10.0723044397463,False
National Total,Maha,Low Country Vegetable,Winged Bean,2023,1271.1,11265.5,8.86279600346157,False
National Total,Yala,Low Country Vegetable,Winged Bean,2024,986.5,9190.5,9.316269640141916,False
National Total,Maha,Low Country Vegetable,Winged Bean,2024,1209.4,11040.9,9.129237638498427,False
National Total,Yala,Low Country Vegetable,Winged Bean,2025,925.3,8438.8,9.120069166756727,False
National Total,Maha,Low Country Vegetable,Winged Bean,2025,1123.6,10075.9,8.96751512993948,False
National Total,Maha,Low Country Vegetable,Vatana,2013,182.0,3116.0,17.12087912087912,False
National Total,Yala,Low Country Vegetable,Vatana,2014,310.0,5364.0,17.303225806451614,False
National Total,Maha,Low Country Vegetable,Vatana,2014,262.0,4289.0,16.370229007633586,False
National Total,Yala,Low Country Vegetable,Vatana,2015,336.0,5990.0,17.827380952380953,False
National Total,Maha,Low Country Vegetable,Vatana,2015,251.0,3750.0,14.9402390438247,False
National Total,Yala,Low Country Vegetable,Vatana,2016,434.0,9770.0,22.51152073732719,True
National Total,Maha,Low Country Vegetable,Vatana,2016,262.0,7400.0,28.244274809160306,True
National Total,Yala,Low Country Vegetable,Vatana,2017,324.0,4168.0,12.864197530864198,False
National Total,Maha,Low Country Vegetable,Vatana,2017,310.0,4231.0,13.648387096774194,False
National Total,Yala,Low Country Vegetable,Vatana,2018,372.0,5267.0,14.158602150537634,False
National Total,Maha,Low Country Vegetable,Vatana,2018,594.0,6195.0,10.429292929292929,False
National Total,Yala,Low Country Vegetable,Vatana,2019,354.0,4235.0,11.963276836158192,False
National Total,Maha,Low Country Vegetable,Vatana,2019,315.0,4727.0,15.006349206349206,False
National Total,Yala,Low Country Vegetable,Vatana,2020,375.0,5611.4,14.963733333333332,False
National Total,Maha,Low Country Vegetable,Vatana,2020,332.0,4765.0,14.352409638554217,False
National Total,Yala,Low Country Vegetable,Vatana,2021,364.8,4695.4,12.871162280701753,False
National Total,Maha,Low Country Vegetable,Vatana,2021,352.0,4963.3,14.100284090909092,False
National Total,Yala,Low Country Vegetable,Vatana,2022,308.7,4363.2,14.13411078717201,False
National Total,Maha,Low Country Vegetable,Vatana,2022,328.4,4761.0,14.497563946406823,False
National Total,Yala,Low Country Vegetable,Vatana,2023,359.0,4733.0,13.183844011142062,False
National Total,Maha,Low Country Vegetable,Vatana,2023,460.1,5936.7,12.903064551184524,False
National Total,Yala,Low Country Vegetable,Vatana,2024,379.3,4984.7,13.141840232006327,False
National Total,Maha,Low Country Vegetable,Vatana,2024,438.9,5328.0,12.139439507860562,False
National Total,Yala,Low Country Vegetable,Vatana,2025,364.1,4489.3,12.329854435594617,False
National Total,Maha,Low Country Vegetable,Vatana,2025,452.0,6024.3,13.328097345132743,False
National Total,Yala,Low Country Vegetable,Gherkin,2018,347.0,4190.0,12.07492795389049,False
National Total,Maha,Low Country Vegetable,Gherkin,2018,155.0,1635.0,10.548387096774194,False
National Total,Yala,Low Country Vegetable,Gherkin,2019,201.0,2355.0,11.716417910447761,False
National Total,Maha,Low Country Vegetable,Gherkin,2019,139.0,1825.0,13.129496402877697,False
National Total,Yala,Low Country Vegetable,Gherkin,2020,147.8,1738.3,11.761163734776725,False
National Total,Maha,Low Country Vegetable,Gherkin,2020,118.0,1814.0,15.372881355932204,False
National Total,Yala,Low Country Vegetable,Gherkin,2021,120.9,1294.0,10.703060380479736,False
National Total,Maha,Low Country Vegetable,Gherkin,2021,98.8,1294.5,13.102226720647774,False
National Total,Yala,Low Country Vegetable,Gherkin,2022,161.9,1913.7,11.820259419394688,False
National Total,Maha,Low Country Vegetable,Gherkin,2022,120.4,1253.9,10.414451827242525,False
National Total,Yala,Low Country Vegetable,Gherkin,2023,210.5,2746.8,13.04893111638955,False
National Total,Maha,Low Country Vegetable,Gherkin,2023,159.1,1156.2,7.267127592708989,True
National Total,Yala,Low Country Vegetable,Gherkin,2024,263.5,3859.5,14.647058823529411,False
National Total,Maha,Low Country Vegetable,Gherkin,2024,216.2,2447.8,11.321924144310826,False
National Total,Yala,Low Country Vegetable,Gherkin,2025,258.6,3782.0,14.62490332559938,False
National Total,Maha,Low Country Vegetable,Gherkin,2025,151.4,1693.0,11.182298546895641,False
National Total,Yala,Low Country Vegetable,Kekiri,2014,520.0,7129.0,13.709615384615384,False
National Total,Maha,Low Country Vegetable,Kekiri,2014,590.0,4774.0,8.091525423728813,True
National Total,Yala,Low Country Vegetable,Kekiri,2016,629.0,7909.0,12.573926868044515,False
National Total,Maha,Low Country Vegetable,Kekiri,2016,730.0,8927.0,12.228767123287671,False
National Total,Yala,Low Country Vegetable,Kekiri,2017,631.0,7803.0,12.36608557844691,False
National Total,Maha,Low Country Vegetable,Kekiri,2017,741.0,8502.0,11.473684210526315,False
National Total,Yala,Low Country Vegetable,Kekiri,2018,752.0,10000.0,13.297872340425531,False
National Total,Maha,Low Country Vegetable,Kekiri,2018,916.0,9899.0,10.806768558951966,False
National Total,Yala,Low Country Vegetable,Kekiri,2019,768.0,8198.0,10.674479166666666,False
National Total,Maha,Low Country Vegetable,Kekiri,2019,874.0,9787.0,11.197940503432495,False
National Total,Yala,Low Country Vegetable,Kekiri,2020,943.5,11289.2,11.965235824059354,False
National Total,Maha,Low Country Vegetable,Kekiri,2020,1002.0,12416.0,12.39121756487026,False
National Total,Yala,Low Country Vegetable,Kekiri,2021,825.3,10164.0,12.315521628498729,False
National Total,Maha,Low Country Vegetable,Kekiri,2021,1005.6,12005.2,11.938345266507557,False
National Total,Yala,Low Country Vegetable,Kekiri,2022,807.0,9110.5,11.289343246592317,False
National Total,Maha,Low Country Vegetable,Kekiri,2022,1179.3,16120.3,13.669380140761469,False
National Total,Yala,Low Country Vegetable,Kekiri,2023,771.3,8752.0,11.347076364579282,False
National Total,Maha,Low Country Vegetable,Kekiri,2023,1552.7,15555.5,10.018355123333547,False
National Total,Yala,Low Country Vegetable,Kekiri,2024,829.9,10168.0,12.252078563682371,False
National Total,Maha,Low Country Vegetable,Kekiri,2024,1095.1,12664.3,11.564514656195781,False
National Total,Yala,Low Country Vegetable,Kekiri,2025,823.3,10068.8,12.229806874772258,False
National Total,Maha,Low Country Vegetable,Kekiri,2025,1139.6,13277.1,11.650666900666902,False
National Total,Yala,Low Country Vegetable,Drumstics,2018,1145.0,11364.0,9.924890829694323,False
National Total,Maha,Low Country Vegetable,Drumstics,2018,995.0,10155.0,10.206030150753769,False
National Total,Yala,Low Country Vegetable,Drumstics,2019,1155.0,11072.0,9.586147186147187,False
National Total,Maha,Low Country Vegetable,Drumstics,2019,953.0,7927.0,8.31794333683106,False
National Total,Yala,Low Country Vegetable,Drumstics,2020,1142.8,10335.6,9.044102205110256,False
National Total,Maha,Low Country Vegetable,Drumstics,2020,1042.0,10599.0,10.171785028790786,False
National Total,Yala,Low Country Vegetable,Drumstics,2021,1161.2,10666.3,9.185583878746124,False
National Total,Maha,Low Country Vegetable,Drumstics,2021,1059.3,8779.9,8.288397998678372,False
National Total,Yala,Low Country Vegetable,Drumstics,2022,1358.1,11384.2,8.382446064354614,False
National Total,Maha,Low Country Vegetable,Drumstics,2022,1203.8,10429.6,8.663897657418177,False
National Total,Yala,Low Country Vegetable,Drumstics,2024,1632.0,11277.7,6.9103553921568635,False
National Total,Maha,Low Country Vegetable,Drumstics,2024,1239.9,9055.8,7.303653520445196,False
National Total,Yala,Low Country Vegetable,Drumstics,2025,1630.2,11604.3,7.1183290393816705,False
National Total,Maha,Low Country Vegetable,Drumstics,2025,1131.4,9166.4,8.101820753049319,False
National Total,Yala,Low Country Vegetable,Thumba Karavila,2014,23.0,181.0,7.869565217391305,False
National Total,Maha,Low Country Vegetable,Thumba Karavila,2014,101.0,1738.0,17.207920792079207,True
National Total,Yala,Low Country Vegetable,Thumba Karavila,2016,87.0,306.0,3.5172413793103448,False
National Total,Maha,Low Country Vegetable,Thumba Karavila,2016,177.0,1989.0,11.23728813559322,True
National Total,Yala,Low Country Vegetable,Thumba Karavila,2017,64.0,561.0,8.765625,False
National Total,Maha,Low Country Vegetable,Thumba Karavila,2017,126.0,853.0,6.76984126984127,False
National Total,Yala,Low Country Vegetable,Thumba Karavila,2018,122.0,768.0,6.295081967213115,False
National Total,Maha,Low Country Vegetable,Thumba Karavila,2018,143.0,1191.0,8.328671328671328,False
National Total,Yala,Low Country Vegetable,Thumba Karavila,2019,203.0,1541.0,7.5911330049261085,False
National Total,Maha,Low Country Vegetable,Thumba Karavila,2019,270.0,2063.0,7.640740740740741,False
National Total,Yala,Low Country Vegetable,Thumba Karavila,2020,227.9,1452.5,6.37340939008337,False
National Total,Maha,Low Country Vegetable,Thumba Karavila,2020,261.0,1764.0,6.758620689655173,False
National Total,Yala,Low Country Vegetable,Thumba Karavila,2021,163.7,1282.8,7.836285888821014,False
National Total,Maha,Low Country Vegetable,Thumba Karavila,2021,239.2,1515.8,6.336956521739131,False
National Total,Yala,Low Country Vegetable,Thumba Karavila,2022,161.6,1275.3,7.891707920792079,False
National Total,Maha,Low Country Vegetable,Thumba Karavila,2022,174.6,1153.8,6.608247422680412,False
National Total,Yala,Low Country Vegetable,Thumba Karavila,2023,137.4,794.7,5.783842794759825,False
National Total,Maha,Low Country Vegetable,Thumba Karavila,2023,162.7,1040.9,6.3976644130301175,False
National Total,Yala,Low Country Vegetable,Thumba Karavila,2024,134.1,752.2,5.609246830723341,False
National Total,Maha,Low Country Vegetable,Thumba Karavila,2024,148.1,852.7,5.757596218771101,False
National Total,Yala,Low Country Vegetable,Thumba Karavila,2025,114.0,512.9,4.499122807017543,False
National Total,Maha,Low Country Vegetable,Thumba Karavila,2025,144.6,850.3,5.8803596127247575,False
National Total,Yala,Up Country Vegetable,Coli Flower,2014,65.0,760.0,11.692307692307692,False
National Total,Maha,Up Country Vegetable,Coli Flower,2014,41.0,385.0,9.390243902439025,False
National Total,Yala,Up Country Vegetable,Coli Flower,2016,139.0,940.0,6.762589928057554,False
National Total,Maha,Up Country Vegetable,Coli Flower,2016,80.0,1043.0,13.0375,False
National Total,Yala,Up Country Vegetable,Coli Flower,2017,209.0,1494.0,7.148325358851674,False
National Total,Maha,Up Country Vegetable,Coli Flower,2017,99.0,785.0,7.929292929292929,False
National Total,Yala,Up Country Vegetable,Coli Flower,2018,131.0,940.0,7.175572519083969,False
National Total,Maha,Up Country Vegetable,Coli Flower,2018,105.0,676.0,6.438095238095238,False
National Total,Yala,Up Country Vegetable,Coli Flower,2019,198.0,1753.0,8.853535353535353,False
National Total,Maha,Up Country Vegetable,Coli Flower,2019,113.0,1334.0,11.805309734513274,False
National Total,Yala,Up Country Vegetable,Coli Flower,2020,674.4,1927.3,2.8577995255041517,False
National Total,Maha,Up Country Vegetable,Coli Flower,2020,135.0,1352.0,10.014814814814814,False
National Total,Yala,Up Country Vegetable,Coli Flower,2021,100.0,1005.8,10.058,False
National Total,Maha,Up Country Vegetable,Coli Flower,2021,101.1,824.0,8.15034619188922,False
National Total,Yala,Up Country Vegetable,Coli Flower,2022,93.6,913.1,9.75534188034188,False
National Total,Maha,Up Country Vegetable,Coli Flower,2022,97.2,498.7,5.1306584362139915,False
National Total,Yala,Up Country Vegetable,Coli Flower,2023,174.8,1334.2,7.632723112128146,False
National Total,Maha,Up Country Vegetable,Coli Flower,2023,93.4,553.8,5.92933618843683,False
National Total,Yala,Up Country Vegetable,Coli Flower,2024,120.8,887.6,7.347682119205299,False
National Total,Maha,Up Country Vegetable,Coli Flower,2024,116.5,1149.5,9.866952789699571,False
National Total,Yala,Up Country Vegetable,Coli Flower,2025,89.9,549.7,6.114571746384872,False
National Total,Maha,Up Country Vegetable,Coli Flower,2025,119.1,1157.4,9.71788413098237,False
National Total,Yala,Low Country Vegetable,Brinjals,2012,4815.0,48163.0,10.00269989615784,False
National Total,Maha,Low Country Vegetable,Brinjals,2012,6945.0,79000.0,11.375089992800575,False
National Total,Yala,Low Country Vegetable,Brinjals,2013,5218.0,54099.0,10.367765427366807,False
National Total,Maha,Low Country Vegetable,Brinjals,2013,7078.0,75808.0,10.710370161062446,False
National Total,Yala,Low Country Vegetable,Brinjals,2014,4397.0,45762.0,10.407550602683648,False
National Total,Maha,Low Country Vegetable,Brinjals,2014,7004.0,80907.0,11.551541976013706,False
National Total,Yala,Low Country Vegetable,Brinjals,2015,4674.0,49548.0,10.600770218228497,False
National Total,Maha,Low Country Vegetable,Brinjals,2015,6157.0,74084.0,12.032483352281956,False
National Total,Yala,Low Country Vegetable,Brinjals,2016,4633.0,58652.0,12.65961579969782,False
National Total,Maha,Low Country Vegetable,Brinjals,2016,5662.0,68542.0,12.105616389968208,False
National Total,Yala,Low Country Vegetable,Brinjals,2017,4013.0,47047.0,11.723648143533516,False
National Total,Maha,Low Country Vegetable,Brinjals,2017,5650.0,61809.0,10.939646017699115,False
National Total,Yala,Low Country Vegetable,Brinjals,2018,4138.0,50965.0,12.316336394393426,False
National Total,Maha,Low Country Vegetable,Brinjals,2018,6698.0,78247.0,11.682143923559272,False
National Total,Yala,Low Country Vegetable,Brinjals,2019,4378.0,67669.0,15.456601187756966,True
National Total,Maha,Low Country Vegetable,Brinjals,2019,5499.0,67194.0,12.219312602291327,False
National Total,Yala,Low Country Vegetable,Brinjals,2020,5171.0,66829.9,12.923979887836007,False
National Total,Maha,Low Country Vegetable,Brinjals,2020,5938.0,75052.0,12.639272482317278,False
National Total,Yala,Low Country Vegetable,Brinjals,2021,4808.1,58749.8,12.21892223539444,False
National Total,Maha,Low Country Vegetable,Brinjals,2021,5915.2,70766.3,11.96346700027049,False
National Total,Yala,Low Country Vegetable,Brinjals,2022,4953.0,61627.9,12.44253987482334,False
National Total,Maha,Low Country Vegetable,Brinjals,2022,5818.9,66620.9,11.449053944903676,False
National Total,Yala,Low Country Vegetable,Brinjals,2023,4609.7,54449.6,11.81196173286765,False
National Total,Maha,Low Country Vegetable,Brinjals,2023,6485.4,80637.2,12.433650969870786,False
National Total,Yala,Low Country Vegetable,Brinjals,2024,4811.7,54660.4,11.359893592701125,False
National Total,Maha,Low Country Vegetable,Brinjals,2024,9571.1,69583.5,7.2701674833613685,True
National Total,Yala,Low Country Vegetable,Brinjals,2025,4796.8,55577.6,11.586390927284857,False
National Total,Maha,Low Country Vegetable,Brinjals,2025,5768.0,64544.8,11.190152565880721,False
National Total,Yala,Up Country Vegetable,Knolkhol,2012,681.0,6435.0,9.449339207048459,False
National Total,Maha,Up Country Vegetable,Knolkhol,2012,704.0,7851.0,11.151988636363637,False
National Total,Yala,Up Country Vegetable,Knolkhol,2013,779.0,9233.0,11.85237483953787,False
National Total,Maha,Up Country Vegetable,Knolkhol,2013,610.0,8575.0,14.057377049180328,False
National Total,Yala,Up Country Vegetable,Knolkhol,2014,781.0,9856.0,12.619718309859154,False
National Total,Maha,Up Country Vegetable,Knolkhol,2014,677.0,8710.0,12.865583456425407,False
National Total,Yala,Up Country Vegetable,Knolkhol,2015,651.0,7520.0,11.551459293394776,False
National Total,Maha,Up Country Vegetable,Knolkhol,2015,700.0,9427.0,13.467142857142857,False
National Total,Yala,Up Country Vegetable,Knolkhol,2016,571.0,8512.0,14.907180385288967,False
National Total,Maha,Up Country Vegetable,Knolkhol,2016,573.0,7348.0,12.823734729493891,False
National Total,Yala,Up Country Vegetable,Knolkhol,2017,557.0,7551.0,13.556552962298024,False
National Total,Maha,Up Country Vegetable,Knolkhol,2017,584.0,6597.0,11.29623287671233,False
National Total,Yala,Up Country Vegetable,Knolkhol,2018,606.0,10382.0,17.13201320132013,False
National Total,Maha,Up Country Vegetable,Knolkhol,2018,685.0,9120.0,13.313868613138686,False
National Total,Yala,Up Country Vegetable,Knolkhol,2019,353.0,8584.0,24.31728045325779,True
National Total,Maha,Up Country Vegetable,Knolkhol,2019,703.0,6722.0,9.561877667140825,False
National Total,Yala,Up Country Vegetable,Knolkhol,2020,791.8,10179.3,12.855897954028794,False
National Total,Maha,Up Country Vegetable,Knolkhol,2020,697.0,6866.0,9.850789096126256,False
National Total,Yala,Up Country Vegetable,Knolkhol,2021,790.4,9879.4,12.49924089068826,False
National Total,Maha,Up Country Vegetable,Knolkhol,2021,627.2,5749.0,9.166135204081632,False
National Total,Yala,Up Country Vegetable,Knolkhol,2022,758.4,9180.2,12.104694092827005,False
National Total,Maha,Up Country Vegetable,Knolkhol,2022,642.0,5787.8,9.015264797507788,False
National Total,Yala,Up Country Vegetable,Knolkhol,2023,793.7,8011.6,10.093990172609297,False
National Total,Maha,Up Country Vegetable,Knolkhol,2023,624.1,6429.6,10.302195161031886,False
National Total,Yala,Up Country Vegetable,Knolkhol,2024,716.8,7039.8,9.821149553571429,False
National Total,Maha,Up Country Vegetable,Knolkhol,2024,649.2,7470.5,11.507239679605668,False
National Total,Yala,Up Country Vegetable,Knolkhol,2025,577.1,5955.4,10.319528677872118,False
National Total,Maha,Up Country Vegetable,Knolkhol,2025,496.3,6696.9,13.493653032440056,False
National Total,Yala,Up Country Vegetable,Beans,2012,3451.0,19382.0,5.616343088959722,True
National Total,Maha,Up Country Vegetable,Beans,2012,4141.0,27603.0,6.665781212267568,False
National Total,Yala,Up Country Vegetable,Beans,2013,3544.0,33991.0,9.591139954853274,False
National Total,Maha,Up Country Vegetable,Beans,2013,4369.0,49575.0,11.346990157930877,False
National Total,Yala,Up Country Vegetable,Beans,2014,3502.0,32659.0,9.3258138206739,False
National Total,Maha,Up Country Vegetable,Beans,2014,4480.0,48549.0,10.836830357142857,False
National Total,Yala,Up Country Vegetable,Beans,2015,3535.0,28884.0,8.170862800565772,False
National Total,Maha,Up Country Vegetable,Beans,2015,4743.0,37279.0,7.859793379717479,False
National Total,Yala,Up Country Vegetable,Beans,2016,3512.0,39266.0,11.180523917995444,False
National Total,Maha,Up Country Vegetable,Beans,2016,5016.0,44100.0,8.791866028708133,False
National Total,Yala,Up Country Vegetable,Beans,2017,3344.0,37390.0,11.18122009569378,False
National Total,Maha,Up Country Vegetable,Beans,2017,4382.0,49995.0,11.409173893199453,False
National Total,Yala,Up Country Vegetable,Beans,2018,3269.0,33171.0,10.147139798103396,False
National Total,Maha,Up Country Vegetable,Beans,2018,4078.0,50795.0,12.455860716037273,False
National Total,Yala,Up Country Vegetable,Beans,2019,2912.0,26770.0,9.192994505494505,False
National Total,Maha,Up Country Vegetable,Beans,2019,3549.0,38680.0,10.898844744998591,False
National Total,Yala,Up Country Vegetable,Beans,2020,3568.3,40318.0,11.298937869573747,False
National Total,Maha,Up Country Vegetable,Beans,2020,4261.0,42655.0,10.010560901196902,False
National Total,Yala,Up Country Vegetable,Beans,2021,3481.4,36680.5,10.536134888263343,False
National Total,Maha,Up Country Vegetable,Beans,2021,4116.3,40184.4,9.762262225785292,False
National Total,Yala,Up Country Vegetable,Beans,2022,3327.3,33928.7,10.197066690710184,False
National Total,Maha,Up Country Vegetable,Beans,2022,3156.8,34253.2,10.850608210846426,False
National Total,Yala,Up Country Vegetable,Beans,2023,2460.0,25287.4,10.279430894308943,False
National Total,Maha,Up Country Vegetable,Beans,2023,3277.9,41139.1,12.55044388175356,False
National Total,Yala,Up Country Vegetable,Beans,2024,2547.7,26128.2,10.255603092985831,False
National Total,Maha,Up Country Vegetable,Beans,2024,2628.4,36344.8,13.82772789529752,False
National Total,Yala,Up Country Vegetable,Beans,2025,2891.1,26225.2,9.071011033862543,False
National Total,Maha,Up Country Vegetable,Beans,2025,1939.3,20468.1,10.55437529005311,False
