MonthDate,Crop,WholesalePrice_RsKg,PrevMonthWholesalePrice_RsKg,NextMonthWholesalePrice_RsKg
2019-07-01,Ash Plantain,95.45454545,83.0,
2019-08-01,Ash Plantain,,95.45454545,
2019-09-01,Ash Plantain,,,
2019-10-01,Ash Plantain,,,
2019-11-01,Ash Plantain,,,90.0
2019-12-01,Ash Plantain,90.0,,95.5
2020-01-01,Ash Plantain,95.5,90.0,86.5
2020-02-01,Ash Plantain,86.5,95.5,73.63636364
2020-03-01,Ash Plantain,73.63636364,86.5,
2020-04-01,Ash Plantain,,73.63636364,56.5
2020-05-01,Ash Plantain,56.5,,63.866666666
2020-06-01,Ash Plantain,63.866666666,56.5,75.97727272750001
2020-07-01,Ash Plantain,75.97727272750001,63.866666666,98.436363636
2020-08-01,Ash Plantain,98.436363636,75.97727272750001,102.875
2020-09-01,Ash Plantain,102.875,98.436363636,
2020-10-01,Ash Plantain,,102.875,
2020-11-01,Ash Plantain,,,
2020-12-01,Ash Plantain,,,67.75
2021-01-01,Ash Plantain,67.75,,69.454545455
2021-02-01,Ash Plantain,69.454545455,67.75,57.9
2021-03-01,Ash Plantain,57.9,69.454545455,47.875
2021-04-01,Ash Plantain,47.875,57.9,33.333333333333336
2021-05-01,Ash Plantain,33.333333333333336,47.875,46.0
2021-06-01,Ash Plantain,46.0,33.333333333333336,38.625
2021-07-01,Ash Plantain,38.625,46.0,45.583333332500004
2021-08-01,Ash Plantain,45.583333332500004,38.625,39.5
2021-09-01,Ash Plantain,39.5,45.583333332500004,42.125
2021-10-01,Ash Plantain,42.125,39.5,47.1
2021-11-01,Ash Plantain,47.1,42.125,65.8636363625
2021-12-01,Ash Plantain,65.8636363625,47.1,79.383838384
2022-01-01,Ash Plantain,79.383838384,65.8636363625,75.75
2022-02-01,Ash Plantain,75.75,79.383838384,57.0
2022-03-01,Ash Plantain,57.0,75.75,52.0
2022-04-01,Ash Plantain,52.0,57.0,64.95
2022-05-01,Ash Plantain,64.95,52.0,89.0
2022-06-01,Ash Plantain,89.0,64.95,107.431818175
2022-07-01,Ash Plantain,107.431818175,89.0,119.8
2022-08-01,Ash Plantain,119.8,107.431818175,150.75
2022-09-01,Ash Plantain,150.75,119.8,165.4
2022-10-01,Ash Plantain,165.4,150.75,191.25
2022-11-01,Ash Plantain,191.25,165.4,203.75
2022-12-01,Ash Plantain,203.75,191.25,219.4
2023-01-01,Ash Plantain,219.4,203.75,211.0
2023-02-01,Ash Plantain,211.0,219.4,200.0
2023-03-01,Ash Plantain,200.0,211.0,165.79545455
2023-04-01,Ash Plantain,165.79545455,200.0,145.0
2023-05-01,Ash Plantain,145.0,165.79545455,152.0
2023-06-01,Ash Plantain,152.0,145.0,152.2
2023-07-01,Ash Plantain,152.2,152.0,160.25
2023-08-01,Ash Plantain,160.25,152.2,181.0909091
2023-09-01,Ash Plantain,181.0909091,160.25,199.4
2023-10-01,Ash Plantain,199.4,181.0909091,230.75
2023-11-01,Ash Plantain,230.75,199.4,263.25
2023-12-01,Ash Plantain,263.25,230.75,276.8
2024-01-01,Ash Plantain,276.8,263.25,282.5
2024-02-01,Ash Plantain,282.5,276.8,220.5
2024-03-01,Ash Plantain,220.5,282.5,140.8909091
2024-04-01,Ash Plantain,140.8909091,220.5,99.25
2024-05-01,Ash Plantain,99.25,140.8909091,169.0
2024-06-01,Ash Plantain,169.0,99.25,203.4
2024-07-01,Ash Plantain,203.4,169.0,206.5
2024-08-01,Ash Plantain,206.5,203.4,175.6
2024-09-01,Ash Plantain,175.6,206.5,124.1818181825
2024-10-01,Ash Plantain,124.1818181825,175.6,101.25
2024-11-01,Ash Plantain,101.25,124.1818181825,142.8
2024-12-01,Ash Plantain,142.8,101.25,144.75
2025-01-01,Ash Plantain,144.75,142.8,149.75
2025-02-01,Ash Plantain,149.75,144.75,132.0
2025-03-01,Ash Plantain,132.0,149.75,
2012-01-01,Bandakka,42.256,,35.375
2012-02-01,Bandakka,35.375,42.256,21.833333333333332
2012-03-01,Bandakka,21.833333333333332,35.375,38.926
2012-04-01,Bandakka,38.926,21.833333333333332,59.955
2012-05-01,Bandakka,59.955,38.926,73.3675
2012-06-01,Bandakka,73.3675,59.955,44.382
2012-07-01,Bandakka,44.382,73.3675,20.6575
2012-08-01,Bandakka,20.6575,44.382,24.625
2012-09-01,Bandakka,24.625,20.6575,59.912
2012-10-01,Bandakka,59.912,24.625,83.6875
2012-11-01,Bandakka,83.6875,59.912,42.126
2012-12-01,Bandakka,42.126,83.6875,96.75
2013-01-01,Bandakka,96.75,42.126,74.0
2013-02-01,Bandakka,74.0,96.75,42.125
2013-03-01,Bandakka,42.125,74.0,33.125
2013-04-01,Bandakka,33.125,42.125,34.5975
2013-05-01,Bandakka,34.5975,33.125,42.035
2013-06-01,Bandakka,42.035,34.5975,32.3
2013-07-01,Bandakka,32.3,42.035,31.625
2013-08-01,Bandakka,31.625,32.3,36.2
2013-09-01,Bandakka,36.2,31.625,36.875
2013-10-01,Bandakka,36.875,36.2,34.34
2013-11-01,Bandakka,34.34,36.875,36.064
2013-12-01,Bandakka,36.064,34.34,51.7325
2014-01-01,Bandakka,51.7325,36.064,41.75
2014-02-01,Bandakka,41.75,51.7325,34.528
2014-03-01,Bandakka,34.528,41.75,40.78
2014-04-01,Bandakka,40.78,34.528,84.58
2014-05-01,Bandakka,84.58,40.78,73.262
2014-06-01,Bandakka,73.262,84.58,30.8625
2014-07-01,Bandakka,30.8625,73.262,23.245
2014-08-01,Bandakka,23.245,30.8625,41.32000000000001
2014-09-01,Bandakka,41.32000000000001,23.245,66.5
2014-10-01,Bandakka,66.5,41.32000000000001,60.125
2014-11-01,Bandakka,60.125,66.5,74.3
2014-12-01,Bandakka,74.3,60.125,129.0
2015-01-01,Bandakka,129.0,74.3,88.5
2015-02-01,Bandakka,88.5,129.0,28.398000000000003
2015-03-01,Bandakka,28.398000000000003,88.5,37.067499999999995
2015-04-01,Bandakka,37.067499999999995,28.398000000000003,58.792500000000004
2015-05-01,Bandakka,58.792500000000004,37.067499999999995,62.9
2015-06-01,Bandakka,62.9,58.792500000000004,45.6325
2015-07-01,Bandakka,45.6325,62.9,28.694
2015-08-01,Bandakka,28.694,45.6325,43.900000000000006
