file,bytes,sha256
researchData.xlsx,2776631,4b2f922b03d93c0d7a46b68aba1546db9278767a4ab910b950053373229c2cb1
weatherData.csv,15796522,cc75e8c1cdc82d5ee0f2e75e80490fecc050247619455bfb751bcff80b90a1ee
Weekly Average Retail Prices of Vegi - 2012 to 2025.xlsx,241424,ab5303299e29ccbbcd495cea646fbe00f06b88adcd0c5a6d4a31d12bea5d16fa
locationData.csv,1657,912c02712a422632650f510ce00bb4a5754aa823384fd593a021616eb5d01a7e
2018-2025 Daily Wholesale Prices(Colombo).xlsx,250996,a48cc494eeb10258331de414ae0e4323e7cc59d5066f435b8d56c4c12a79311f
